review_idx,sentiment_label,overall,brand,category,aspect,aspect_sentiment,phrase
0,negative,1.0,SAMSUNG,All Electronics,connectivity,negative,screen mirroring refuses to connect
1,negative,1.0,GMYLE,Computers,design,negative,the dimension is off so much that
1,negative,1.0,GMYLE,Computers,delivery,negative,the return shipping is way over the
2,positive,5.0,Garmin,Home Audio & Theater,performance,positive,it even showed an address google and yahoo maps did not have
2,positive,5.0,Garmin,Home Audio & Theater,customer_service,positive,garmin tech support helped resolve my connection issue
3,positive,5.0,,,performance,positive,almost as powerful
3,positive,5.0,,,design,positive,does not have the fluid residue
4,positive,4.0,,,performance,positive,it charges extra fast which I liked a lot
4,positive,4.0,,,build_quality,negative,after about two months it starts to break
5,neutral,3.0,Logitech,Computers,screen_display,neutral,video is okay
5,neutral,3.0,Logitech,Computers,sound_audio,negative,audio is poopy
7,neutral,3.0,Xtenzi,Portable Audio & Accessories,performance,positive,worked great for a while
7,neutral,3.0,Xtenzi,Portable Audio & Accessories,connectivity,negative,cut in and out
7,neutral,3.0,Xtenzi,Portable Audio & Accessories,price_value,positive,better and cheaper
9,positive,4.0,VideoSecu,Office Products,screen_display,negative,getting the image to center and level was tricky
10,neutral,3.0,,,camera,positive,the camera arrived early
10,neutral,3.0,,,battery_life,negative,there was no battery
11,negative,1.0,,,connectivity,negative,refusing to read any usb devices
12,neutral,3.0,,,delivery,positive,ssd arrived quickly
12,neutral,3.0,,,performance,positive,installed win 7 ultimate 64 bit without issue
12,neutral,3.0,,,performance,positive,ssd fit perfectly
12,neutral,3.0,,,performance,positive,cold boot time is around 20 seconds
12,neutral,3.0,,,performance,negative,laptop is now having trouble consistently booting
13,negative,1.0,Western Digital,All Electronics,performance,negative,started loosing my files when i lost 2 hours work
13,negative,1.0,Western Digital,All Electronics,customer_service,negative,representative decided hard drive is ok but agree to replace
14,positive,5.0,Amazon Renewed,Home Audio & Theater,price_value,positive,great price too
15,negative,2.0,,,build_quality,negative,too smooth to confidently hold it but with some sort of film on it that still makes it feel slippery
16,negative,1.0,,,connectivity,negative,wouldn't have purchased this if the description was correct
17,neutral,3.0,Impossible,Camera & Photo,design,negative,impossible for the sx 70 to lie flat
18,positive,5.0,Micro Solution of Japan,Camera & Photo,screen_display,positive,better than other screen protectors
18,positive,5.0,Micro Solution of Japan,Camera & Photo,performance,positive,installation was fast and bubble free
19,positive,5.0,Panasonic,Camera & Photo,camera,positive,very low noise with right settings
19,positive,5.0,Panasonic,Camera & Photo,camera,positive,no chromatic aberration
19,positive,5.0,Panasonic,Camera & Photo,camera,positive,great image stabilization
19,positive,5.0,Panasonic,Camera & Photo,camera,positive,good focusing aids
19,positive,5.0,Panasonic,Camera & Photo,design,positive,controls are numerous and features are countless
20,negative,1.0,,,connectivity,negative,does not pair with my laptop
20,negative,1.0,,,price_value,negative,i would not have bought this thing
21,negative,2.0,FAVI,Home Audio & Theater,price_value,positive,great value
21,negative,2.0,FAVI,Home Audio & Theater,build_quality,positive,product material seems good
21,negative,2.0,FAVI,Home Audio & Theater,design,positive,able to roll up the screen
21,negative,2.0,FAVI,Home Audio & Theater,screen_display,negative,screen curls at the edges
22,negative,2.0,,,sound_audio,negative,no sound it turns out that the transmitter merely passes the 5 1 audio
23,negative,1.0,Sony,All Electronics,price_value,negative,good price thought was a fair amount
23,negative,1.0,Sony,All Electronics,customer_service,negative,incorrect pricing of the tv
24,negative,2.0,,,build_quality,negative,it wobbles like crazy with my d7000
24,negative,2.0,,,performance,negative,it is not a very effective solution
25,positive,4.0,UniquExceptional,Camera & Photo,battery_life,negative,batteries went out that operate the led in only a month of use
27,negative,2.0,PIXEL,Camera & Photo,build_quality,negative,did not fit fz50 lumix and hangs off camera
28,negative,1.0,SanDisk,All Electronics,performance,negative,old slow and obsolete
30,negative,1.0,,,battery_life,negative,won't charge purchased
30,negative,1.0,,,price_value,negative,too expensive for a years
30,negative,1.0,,,performance,negative,won't even charge
31,neutral,3.0,C. Crane,Home Audio & Theater,build_quality,negative,cheap grade of plastic shell melted
31,neutral,3.0,C. Crane,Home Audio & Theater,build_quality,negative,cheaply constructed photovoltaic strip panel began to peel
31,neutral,3.0,C. Crane,Home Audio & Theater,price_value,negative,i overpaid for this emergency radio
32,negative,1.0,Neewer,Camera & Photo,screen_display,negative,the display turns off and i cannot review photos when connected the view screen on the camera goes black
33,negative,2.0,,,performance,negative,every other disk causes an error
33,negative,2.0,,,price_value,negative,actually paying for about 25 30 instead of 50
34,positive,4.0,,,sound_audio,positive,they almost do they come the closest to making everything silent
34,positive,4.0,,,sound_audio,positive,the music has super great sound
35,positive,5.0,,,performance,positive,it works well
35,positive,5.0,,,build_quality,positive,seems like it will last
35,positive,5.0,,,price_value,positive,spent a little more for it
36,positive,5.0,Tech Rover,Computers,performance,positive,works well
36,positive,5.0,Tech Rover,Computers,design,positive,fits
36,positive,5.0,Tech Rover,Computers,battery_life,positive,charges just like the original
36,positive,5.0,Tech Rover,Computers,price_value,positive,can't beat the price
36,positive,5.0,Tech Rover,Computers,price_value,negative,do not waste your money
37,positive,5.0,Amazon Basics,Cell Phones & Accessories,price_value,positive,i got two for cheaper than i would a single one anywhere else
