title,brand,category,price,battery_life,build_quality,camera,connectivity,customer_service,delivery,design,performance,price_value,screen_display,software_app,sound_audio,total_mentions,overall_score
"Logitech HD Pro Webcam C920, Widescreen Video Calling and Recording, 1080p Camera, Desktop or Laptop Webcam (Discontinued by manufacturer)",Logitech,Computers,64.49,,0.538,0.241,-1.0,0.0,0.2,0.0,0.0,0.2,0.111,-0.158,0.091,535,0.02
"Logitech HD Pro Webcam C920, Widescreen Video Calling and Recording, 1080p Camera, Desktop or Laptop Webcam (Discontinued by manufacturer)",Logitech,Computers,64.49,,0.538,0.704,,-0.333,1.0,0.667,0.333,0.5,-1.0,0.538,0.143,535,0.309
"Logitech M570 Wireless Trackball Mouse – Ergonomic Design with Sculpted Right-Hand Shape, Compatible with Apple Mac / Microsoft, USB Unifying Receiver, Dark Gray (Discontinued by Manufacturer)",Logitech,All Electronics,63.43,0.0,-0.444,-1.0,0.333,-1.0,1.0,0.0,-0.6,-0.4,0.0,-0.333,1.0,424,-0.12
"Logitech M570 Wireless Trackball Mouse – Ergonomic Design with Sculpted Right-Hand Shape, Compatible with Apple Mac / Microsoft, USB Unifying Receiver, Dark Gray (Discontinued by Manufacturer)",Logitech,All Electronics,63.43,0.5,0.25,1.0,0.667,-1.0,1.0,0.5,0.2,0.0,0.0,-0.125,,424,0.272
"Logitech Harmony 650 Infrared All in One Remote Control, Universal Remote Logitech, Programmable Remote (Silver)",Logitech,Home Audio & Theater,259.98,0.333,0.0,1.0,1.0,-0.333,-0.2,-0.333,0.0,0.0,-1.0,0.167,0.0,413,0.053
"Logitech Harmony 650 Infrared All in One Remote Control, Universal Remote Logitech, Programmable Remote (Silver)",Logitech,Home Audio & Theater,259.98,0.0,,,0.0,-0.333,0.0,-0.333,-1.0,0.0,-0.333,-0.312,-0.429,413,-0.274
Tiffen 43MM UV Protector Filter,Tiffen,Camera & Photo,7.48,0.0,0.143,0.259,,-1.0,0.0,1.0,-0.333,0.375,,-0.25,,405,0.022
Tiffen 43MM UV Protector Filter,Tiffen,Camera & Photo,7.48,,0.2,0.3,,0.0,0.0,-1.0,,0.385,,0.25,,405,0.019
"NETGEAR Wi-Fi Range Extender EX2700 - Coverage Up to 800 Sq Ft and 10 devices with N300 Wireless Signal Booster & Repeater (Up to 300Mbps Speed), and Compact Wall Plug Design",NETGEAR,Computers,59.99,,-0.333,0.333,-0.029,-0.333,,-0.333,-0.556,0.429,,0.0,,399,-0.103
"NETGEAR Wi-Fi Range Extender EX2700 - Coverage Up to 800 Sq Ft and 10 devices with N300 Wireless Signal Booster & Repeater (Up to 300Mbps Speed), and Compact Wall Plug Design",NETGEAR,Computers,59.99,-1.0,-0.333,1.0,0.0,-0.143,0.0,1.0,-0.75,0.0,,0.111,-1.0,399,-0.101
"tp-link WiFi Router AC1750 Wireless Dual Band Gigabit (Archer C7), Router-AC1750",TP-Link,Computers,31.59,1.0,0.0,1.0,-0.077,0.0,0.333,-1.0,0.333,0.143,1.0,-0.429,1.0,390,0.275
"tp-link WiFi Router AC1750 Wireless Dual Band Gigabit (Archer C7), Router-AC1750",TP-Link,Computers,31.59,1.0,0.0,1.0,0.308,-0.2,,0.667,0.417,0.8,-1.0,0.385,-1.0,390,0.216
Roku 2 XS 1080p Streaming Player (Old Model),Roku,All Electronics,34.98,0.0,-0.2,-0.333,0.143,0.2,0.0,-0.25,0.5,0.0,-0.2,-0.333,0.0,365,-0.039
Roku 2 XS 1080p Streaming Player (Old Model),Roku,All Electronics,34.98,1.0,0.0,0.0,-0.2,0.2,1.0,1.0,0.0,1.0,-1.0,-0.083,0.0,365,0.243
Tiffen 62UVP 62mm UV Protection Filter,Tiffen,Camera & Photo,6.88,,0.286,0.462,,,0.5,1.0,0.0,0.636,,0.0,,347,0.412
Tiffen 62UVP 62mm UV Protection Filter,Tiffen,Camera & Photo,6.88,-1.0,-0.778,-0.13,,-1.0,-1.0,0.0,-1.0,0.0,,-0.2,,347,-0.568
Samsung EVO 64GB 48/MB/s Micro SDXC Memory Card with Adapter up to (MB-MP64DA/AM),SAMSUNG,Computers,47.0,,0.333,0.273,-1.0,-1.0,0.333,0.0,0.647,0.571,,0.143,,343,0.033
Samsung EVO 64GB 48/MB/s Micro SDXC Memory Card with Adapter up to (MB-MP64DA/AM),SAMSUNG,Computers,47.0,1.0,1.0,-0.4,,-1.0,,,0.5,1.0,,0.0,,343,0.3
Logitech Performance MX Wireless Mouse (DISCONTINUED and Replaced by MX Master 2S),Logitech,All Electronics,249.99,-0.625,-1.0,,-1.0,0.0,-1.0,,-1.0,-1.0,,-0.833,,338,-0.807
Logitech Performance MX Wireless Mouse (DISCONTINUED and Replaced by MX Master 2S),Logitech,All Electronics,249.99,0.0,0.6,-1.0,0.0,-1.0,,-0.5,-0.2,0.0,-1.0,-0.333,,338,-0.343
SABRENT 4 Port USB 2.0 Data Hub with Individual LED lit Power Switches [Charging NOT Supported] for Mac & PC (HB-UMLS),SABRENT,Computers,8.99,0.0,-0.333,,0.333,-1.0,1.0,1.0,0.6,0.231,-1.0,-0.091,-1.0,334,-0.024
SABRENT 4 Port USB 2.0 Data Hub with Individual LED lit Power Switches [Charging NOT Supported] for Mac & PC (HB-UMLS),SABRENT,Computers,8.99,0.0,-0.333,-1.0,0.111,-0.333,0.0,-0.333,1.0,-0.25,,0.5,1.0,334,0.033
SAMSUNG 850 EVO 500GB 2.5-Inch SATA III Internal SSD (MZ-75E500B/AM),SAMSUNG,Computers,88.83,,0.0,1.0,,1.0,,,0.895,1.0,-1.0,0.5,,324,0.485
SAMSUNG 850 EVO 500GB 2.5-Inch SATA III Internal SSD (MZ-75E500B/AM),SAMSUNG,Computers,88.83,0.25,0.0,,-0.5,-1.0,1.0,0.333,0.696,0.5,,0.8,,324,0.231
"Kinivo BTC450 Bluetooth Car Kit (Hands-Free Adapter for Cars with 3.5mm Aux Input, Apt-X)",Kinivo,Cell Phones & Accessories,46.99,0.375,0.625,,0.333,0.0,1.0,0.333,-0.333,0.333,,-0.2,0.125,317,0.259
"Kinivo BTC450 Bluetooth Car Kit (Hands-Free Adapter for Cars with 3.5mm Aux Input, Apt-X)",Kinivo,Cell Phones & Accessories,46.99,-0.6,-0.167,,0.0,0.143,1.0,0.5,0.0,-0.5,-1.0,0.231,-0.308,317,-0.064
"Kinivo USB Bluetooth Adapter for PC BTD400 (Bluetooth 4.0 Dongle Receiver, Low Energy) - Compatible with Windows 11/10/8.1/8/7, Raspberry Pi, Linux, MacOS, Laptop & Headphones",Kinivo,Computers,14.49,,1.0,,0.6,-0.333,,-1.0,1.0,0.333,,-0.143,0.5,312,0.245
"Kinivo USB Bluetooth Adapter for PC BTD400 (Bluetooth 4.0 Dongle Receiver, Low Energy) - Compatible with Windows 11/10/8.1/8/7, Raspberry Pi, Linux, MacOS, Laptop & Headphones",Kinivo,Computers,14.49,,-1.0,,0.286,0.0,1.0,,-0.333,0.2,-1.0,0.111,-0.333,312,-0.119
Kinivo BTH220 Bluetooth Stereo Headphone – Supports Wireless Music Streaming and Hands-Free Calling,Kinivo,Cell Phones & Accessories,26.99,0.2,0.25,,0.714,-1.0,,0.0,0.333,0.333,,0.0,-0.167,300,0.074
Kinivo BTH220 Bluetooth Stereo Headphone – Supports Wireless Music Streaming and Hands-Free Calling,Kinivo,Cell Phones & Accessories,26.99,0.0,-0.167,0.5,0.333,1.0,1.0,0.667,1.0,0.5,0.0,0.25,0.071,300,0.43
"Logitech Z623 400 Watt Home Speaker System, 2.1 Speaker System - Black",Logitech,All Electronics,169.99,0.6,0.333,1.0,1.0,0.5,1.0,0.667,,0.4,1.0,0.6,0.5,296,0.691
"Logitech Z623 400 Watt Home Speaker System, 2.1 Speaker System - Black",Logitech,All Electronics,169.99,-1.0,0.429,-1.0,0.333,1.0,0.0,0.0,-1.0,0.333,-1.0,-0.143,0.529,296,-0.127
SAMSUNG 850 EVO 250GB 2.5-Inch SATA III Internal SSD (MZ-75E250B/AM),SAMSUNG,Computers,85.01,,1.0,0.333,-1.0,-1.0,,-0.333,0.619,0.714,1.0,0.0,1.0,294,0.233
SAMSUNG 850 EVO 250GB 2.5-Inch SATA III Internal SSD (MZ-75E250B/AM),SAMSUNG,Computers,85.01,-1.0,0.0,-1.0,,0.333,1.0,0.5,0.615,0.333,,0.067,-1.0,294,-0.015
"Blue Yeti USB Mic for Recording & Streaming on PC and Mac, 3 Condenser Capsules, 4 Pickup Patterns, Headphone Output and Volume Control, Mic Gain Control, Adjustable Stand, Plug & Play - Platinum",Logitech for Creators,Musical Instruments,121.96,,0.857,0.5,,1.0,1.0,1.0,,1.0,,0.571,0.8,277,0.841
"Blue Yeti USB Mic for Recording & Streaming on PC and Mac, 3 Condenser Capsules, 4 Pickup Patterns, Headphone Output and Volume Control, Mic Gain Control, Adjustable Stand, Plug & Play - Platinum",Logitech for Creators,Musical Instruments,121.96,,0.545,1.0,-0.5,1.0,1.0,0.75,1.0,0.667,1.0,0.25,0.667,277,0.671
"VELCRO Brand ONE-WRAP Cable Ties | 25Pk | 8 x 1/2"" Black Cord Organization Straps | Thin Pre-Cut Design | Wire Management for Organizing Home, Office and Data Centers",VELCRO Brand,Industrial & Scientific,4.49,-0.8,0.091,,,,-0.333,1.0,1.0,0.273,,-0.571,-1.0,259,-0.042
"VELCRO Brand ONE-WRAP Cable Ties | 25Pk | 8 x 1/2"" Black Cord Organization Straps | Thin Pre-Cut Design | Wire Management for Organizing Home, Office and Data Centers",VELCRO Brand,Industrial & Scientific,4.49,-1.0,0.6,1.0,,-1.0,,0.5,,0.571,,0.0,-1.0,259,-0.041
